"""Month"",""Index"""
"1977 JUL,""61.3"""
"1977 AUG,""61.9"""
"1977 SEP,""62.1"""
"1977 OCT,""61.9"""
"1977 NOV,""61.4"""
"1977 DEC,""62.5"""
"1978 JAN,""62.4"""
"1978 FEB,""62.4"""
"1978 MAR,""61.8"""
"1978 APR,""65.6"""
"1978 MAY,""63.3"""
"1978 JUN,""63.3"""
"1978 JUL,""64.3"""
"1978 AUG,""64.8"""
"1978 SEP,""64.8"""
"1978 OCT,""63.5"""
"1978 NOV,""63.9"""
"1978 DEC,""66.0"""
"1979 JAN,""61.4"""
"1979 FEB,""66.0"""
"1979 MAR,""66.8"""
"1979 APR,""66.7"""
"1979 MAY,""67.7"""
"1979 JUN,""68.8"""
"1979 JUL,""68.0"""
"1979 AUG,""65.7"""
"1979 SEP,""65.5"""
"1979 OCT,""65.7"""
"1979 NOV,""66.6"""
"1979 DEC,""66.9"""
"1980 JAN,""66.5"""
"1980 FEB,""65.0"""
"1980 MAR,""64.6"""
"1980 APR,""62.7"""
"1980 MAY,""62.8"""
"1980 JUN,""62.9"""
"1980 JUL,""61.6"""
"1980 AUG,""60.6"""
"1980 SEP,""59.5"""
"1980 OCT,""59.3"""
"1980 NOV,""59.3"""
"1980 DEC,""58.9"""
"1981 JAN,""58.8"""
"1981 FEB,""59.3"""
"1981 MAR,""59.3"""
"1981 APR,""59.6"""
"1981 MAY,""58.7"""
"1981 JUN,""60.0"""
"1981 JUL,""60.2"""
"1981 AUG,""60.4"""
"1981 SEP,""60.5"""
"1981 OCT,""61.9"""
"1981 NOV,""61.1"""
"1981 DEC,""60.2"""
"1982 JAN,""60.2"""
"1982 FEB,""60.6"""
"1982 MAR,""60.7"""
"1982 APR,""61.5"""
"1982 MAY,""62.1"""
"1982 JUN,""61.2"""
"1982 JUL,""61.2"""
"1982 AUG,""61.8"""
"1982 SEP,""61.8"""
"1982 OCT,""61.4"""
"1982 NOV,""60.4"""
"1982 DEC,""61.2"""
"1983 JAN,""62.0"""
"1983 FEB,""62.9"""
"1983 MAR,""62.1"""
"1983 APR,""62.7"""
"1983 MAY,""63.5"""
"1983 JUN,""62.5"""
"1983 JUL,""63.6"""
"1983 AUG,""63.6"""
"1983 SEP,""63.9"""
"1983 OCT,""64.6"""
"1983 NOV,""64.5"""
"1983 DEC,""64.8"""
"1984 JAN,""65.8"""
"1984 FEB,""65.2"""
"1984 MAR,""64.3"""
"1984 APR,""63.1"""
"1984 MAY,""62.6"""
"1984 JUN,""63.1"""
"1984 JUL,""62.3"""
"1984 AUG,""62.0"""
"1984 SEP,""63.0"""
"1984 OCT,""63.1"""
"1984 NOV,""62.7"""
"1984 DEC,""63.8"""
"1985 JAN,""64.9"""
"1985 FEB,""64.9"""
"1985 MAR,""66.6"""
"1985 APR,""67.1"""
"1985 MAY,""67.7"""
"1985 JUN,""69.2"""
"1985 JUL,""66.6"""
"1985 AUG,""67.1"""
"1985 SEP,""68.3"""
"1985 OCT,""66.9"""
"1985 NOV,""67.7"""
"1985 DEC,""66.0"""
"1986 JAN,""66.7"""
"1986 FEB,""67.3"""
"1986 MAR,""67.9"""
"1986 APR,""68.8"""
"1986 MAY,""67.6"""
"1986 JUN,""68.6"""
"1986 JUL,""68.0"""
"1986 AUG,""68.0"""
"1986 SEP,""69.8"""
"1986 OCT,""70.0"""
"1986 NOV,""69.7"""
"1986 DEC,""70.0"""
"1987 JAN,""68.6"""
"1987 FEB,""70.9"""
"1987 MAR,""70.6"""
"1987 APR,""70.0"""
